path,sha256,size_bytes,mtime_iso,type,category,source_id
.gitattributes,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,66,2025-08-14T03:13:50,other,,.gitattributes
.github/README_PR_Commenter.md,53afc854adafe628520c4dc6a374d636d64ecce0c4d7b9c6865927f863571909,494,2025-08-16T05:18:18,md,admin,README_PR_Commenter
.github/scripts/merge_gdd.py,c918ebd50bd4ac48a5da882d286a51db407df42e877372d830a11eb70a7d1fee,9864,2025-08-16T05:18:18,code,narrative,merge_gdd
.github/scripts/validation_postfilter.py,04dd677f5a5eae8ae0f799802805f1e60ce023630e0703bf52119b383cdaafd7,2256,2025-08-16T21:27:34,code,narrative,validation_postfilter
.github/scripts/validation_postfilter.py.part,4ee338910604b4be5d53a8fc3b456b0a8c5d2077107139c0d6e051f00d6389cf,545,2025-08-16T21:27:34,other,narrative,validation_postfilter.py
.github/workflows/ch7-city-rules-validate.yml,b6871a6c872edb4a22adc329095205b19978270817b38146d8b7a7cbe05226cc,1486,2025-08-16T15:19:42,code,,ch7-city-rules-validate
.github/workflows/corkboard_department_ack_macro.md,bdb20181979048426c93a22dd73202852ac4639a27b9c9c5072fff653c339f6c,993,2025-08-17T00:15:40,md,art,corkboard_department_ack_macro
.github/workflows/daily-digest.yml,40d171cb0419bdb46393be4e26efbe1d17288f7a47a4465598abb88f3f2efad5,2183,2025-08-16T05:20:48,code,,daily-digest
.github/workflows/department_charters_pack.md,d6139d67968e8d9af80464de2cb82bcfc331526e1054602c8919c3d79a166684,6724,2025-08-16T23:24:10,md,art,department_charters_pack
.github/workflows/DEPARTMENT_MACROS_GUIDE.md,d17f6c74324ee47eb9e03c2e788fff684bc4fcd4e0ef8b4d56f3dbb3ab101daa,3725,2025-08-17T00:12:12,md,art,DEPARTMENT_MACROS_GUIDE
.github/workflows/epilogue-validate.yml,d45436779760522686ef385a467e19576461d7dbd5d40248f6e05f3be089cded,2447,2025-08-16T21:27:34,code,code,epilogue-validate
.github/workflows/mail_department_dashboard.md,cb239c12cd54a45b0079c1944fe4af835d0a3d822b9b7883efe0ddcb93db3028,1781,2025-08-17T00:15:30,md,art,mail_department_dashboard
.github/workflows/merge-patches.yml,7a26bb615a571fe9fe60e93c16ff6c9b45c64a0089eafda8b92f4a240435c5d5,1048,2025-08-16T05:18:18,code,,merge-patches
.github/workflows/optimization_macro_departments_subcontractors.md,c2fb7e71a75f3b96531d4e27182a2ccc0a03c6245163660b308e0f209ff3aa05,1534,2025-08-17T00:15:24,md,art,optimization_macro_departments_subcontractors
.github/workflows/org_notice_department_leads.md,0f4c3e8ca1caeac165d0e06f47e0b04c731586146dfc81d593c5e0b550bc1871,844,2025-08-16T23:39:18,md,art,org_notice_department_leads
.github/workflows/pr-commenter.yml,c1276cbef6b8282675ab2db7a1534cd50f69476168e7b08fb3da4f67bdb17cda,3608,2025-08-16T05:18:18,code,,pr-commenter
.github/workflows/Project_Workspace_Instructions.md,db5271ccf41ff773ba7435bd8e8824dbf6794cb14b074e3201c1e4fea437a719,4974,2025-08-16T22:07:04,md,,Project_Workspace_Instructions
.github/workflows/repoDirs.md,2f3f432ccd47c97413cdd7113ab674f281412392823ae9298eb7b49d63c1472b,2117,2025-08-16T21:45:28,md,,repoDirs
.idea/.gitignore,d17e3f13b3e302243def95c87605456f8fd496dd9c34b8b284afd3606a4e69fc,300,2025-08-14T07:28:50,other,,.gitignore
.idea/workspace.xml,a008bed6936c74ab597735d2fa8570728aef3e1b9b6cc2a2dd4100542e469e2a,245,2025-08-14T07:27:50,other,,workspace
.release_pr_body.md,7504f45ab363bbd9ffb8eabeaa740a4182f31fc99ad347729eda4b5ba32f6fa6,325,2025-08-16T19:51:18,md,,.release_pr_body
000_DIPLOMAGIC_Next_Task.md,3318779a44a7399e1682cf541039ed287801b05aae4279459a3c8d8599afae3b,381,2025-08-14T09:18:12,md,,000_DIPLOMAGIC_Next_Task
Archive/adversary_npc_systems/Enemy Systems Department — notes (ARCHIVED 2025-08-17).md,2c3a9be56e4fc94f2ba439088670b3be58512a2975a6e6e2d4c05c4d20a315e6,292,2025-08-17T05:20:38,md,systems,Enemy Systems Department — notes (ARCHIVED 2025-08-17)
Archive/adversary_npc_systems/Statblocks & Enemies Department — Charter (ARCHIVED 2025-08-17).md,6aa7b00a5b5e521f4a940e7b57c390c5c6999a9489f6c3c69640843bf8147f81,301,2025-08-17T05:20:38,md,systems,Statblocks & Enemies Department — Charter (ARCHIVED 2025-08-17)
Archive/ARCHIVE_PACK_20250816-1022_ci_epilogue-asserts.md,3ccc5323cb293aa6fcc6637def34a264a4345083db39d7ce081484d6ca111238,234,2025-08-16T18:23:26,md,code,ARCHIVE_PACK_20250816-1022_ci_epilogue-asserts
Archive/ARCHIVE_PACK_GDD_Rebuild_2025-08-16_0809ET.md,806df6628d556ed98624f7760f88b01415bb0daead19323e4de38d40dd478589,1578,2025-08-16T19:51:18,md,art,ARCHIVE_PACK_GDD_Rebuild_2025-08-16_0809ET
Archive/ARCHIVE_PACK_GDD_Rebuild_2025-08-16_1831ET.md,5df68e91d64e120ad2eb94423b7a0d3dbbd8748f440189d936bf5066cb77d9a1,14250,2025-08-16T19:51:18,md,art,ARCHIVE_PACK_GDD_Rebuild_2025-08-16_1831ET
Archive/archive_release_notes_v_0.md,ed36f71894a8da51bfa9a3b9ba28a106b975a475d040847a04f9bf8159ea25a1,3789,2025-08-16T19:51:18,md,,archive_release_notes_v_0
Archive/release_notes_v0.1-docs-structure.md,ded407b846f7997d415f774d828850c21299ddc3ecf973afb0e3b9918685fad2,1288,2025-08-16T20:04:28,md,,release_notes_v0.1-docs-structure
Archive/repo_snapshot.md,ae7dbf6d6eb0d1fd40a8e09e3e59af6bacd2205a0cc17c86561b18e738f884e2,843,2025-08-16T19:51:18,md,,repo_snapshot
archive_index_diplomagic.md,5f04ccd4acc8d56c39eb17374c57ac7ae64232c0ad50e900988e831e7473bcab,1623,2025-08-16T02:54:04,md,,archive_index_diplomagic
archive_log.sh,9353025a483c6c2abc8b10431f14cd5f09eb13d5c6d5ff0734234e77b4df7715,1423,2025-08-16T18:23:26,code,,archive_log
